Year,Storm Name,Storm Dates,Time,Reg,Sub Reg,Country,State,Location,Lat,Lon,Surge_m,Surge_ft,Storm_Tide_m,Storm_Tide_ft,Storm_Tide_Waves_m,Storm_Tide_Waves_ft,Datum,Type of Obs,Tropical,Confidence,Surge ID,Storm ID
1999,Lenny,,,5,4,VI,,Frederiksted- St. Croix- US Virgin Islands,17.7128,-64.8836,5.33,17.5,,,,,,,Y,,,
1954,Edna,September 2 - 15,,5,5,CA,NB,Saint John,45.2458,-66.0753,1.2,3.94,,,,,,,Y,,,
1963,Ginny,October 16 - 29,,5,5,CA,NB,Escuminac/Pointe-Sapin,47.0503,-64.8297,1.43,4.69,,,,,,,Y,,,
1964,Gladys,September 13 - 25,,5,5,CA,NB,Escuminac/Pointe-Sapin,47.0503,-64.8297,1.31,4.3,,,,,,,Y,,,
2000,Suptrob 13,October 25 - 29,,5,5,CA,NB,Escuminac/Pointe-Sapin,47.0503,-64.8297,1.58,5.18,,,,,,,Y,,,
2002,Gustav,September 8 - 12,,5,5,CA,PEI,Charlottetown,46.2292,-63.1317,1.35,4.43,,,,,,,Y,,,
2003,Juan,September 24 - 29,,5,5,CA,NS,Halifax,44.6333,-63.5814,1.5,4.92,,,,,,,Y,,,
2009,Bill,,,5,5,CA,NL,St. Lawrence,,,0.94,3.1,,,,,,,Y,,,
2010,Igor,,,5,5,CA,NL,St. John's Harbour,,,1.07,3.5,,,,,,,Y,,,
2012,Leslie,,,5,5,CA,NL,Argentia and St. Lawrence,,,1.1,3.61,,,,,,,Y,,,
2002,Kenna,Oct 22-26,,6,1,MX,,San Blas,21.5275,-105.24,5,16.4,,,,,,,Y,,,
1965,Doreen,Aug 19-31,,6,2,US,HI,,,,,,,,,,,,Y,,,
1992,Iniki,Sep 5-13,,6,2,US,HI,Poipu Beach,21.8758,-159.4606,1.83,6,,,,,,,Y,,,
2014,Iselle,Jul 31 - Aug 9,,6,2,US,HI,Kapoho and Vacationland,,,,,1.22,4,,,,,Y,,,
2014,Ana,,,,,,,,,,,,,,,,,,Y,,,
2011,,9-Nov,,11,,US,AK,Nome,,,,8.6,,,,,,,N,,,
1974,,Nov 11-12,,11,,US,AK,Nome,,,,13,,,,,,,N,,,
2005,,Sep,,11,,US,AK,Nome,,,,10.4,,,,,,,N,,,
2004,,Oct,,11,,US,AK,Nome,,,,10.4,,,,,,,N,,,
1985,,,,11,,CA,NU,Tuktoyaktuk,,,1.38,,,,,,,,N,,,
1978,,24-Sep,,11,,US,AK,Nome,,,2.1,,,,,,,,N,,,
1978,,7-Nov,,11,,US,AK,Nome,,,3,,,,,,,,N,,,
1970,,13-Sep,,11,,US,AK,Beaufort Sea Coast,,,,,,,3.4,,,,N,,,
